title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_power,spec_current_rating,spec_capacity,spec_kva_rating,Clean_Name,Current_A,Voltage_V,Power_W
240v 100ah MPPT Charger Controller Available,480000.0,000240V,,,,,,Charge Controllers,1,000240V,,,100Ah,,MPPT Charger Controller Available,100,240,
Charge Controller,43000.0,,,,,,,Charge Controllers,1,,,30A,,,Charge Controller,,,
50A PWM Solar Charge Controller Available in Stock.,40000.0,,,,,,,Charge Controllers,1,,,00050A,,,PWM Solar Charge Controller Available in Stock,50,,
Felicity 100ah 12/24/48v Mppt Solar Charge Controllers,235000.0,48V,,,,,,Charge Controllers,1,48V,,,100Ah,,Felicity Mppt Solar Charge Controllers,100,48,
"Must 100a,12/24/48v MPPT Solar Charge Controller.",230000.0,48V,,,,,,Charge Controllers,1,48V,,100A,,,Must MPPT Solar Charge Controller,100,48,
EPEVER 60a MPPT Solar Charge Controller,260000.0,,,,,,,Charge Controllers,1,,,60A,,,EPEVER MPPT Solar Charge Controller,60,,
Sms Solar Charge Controller Mppt 80ah,155000.0,,,,,,,Charge Controllers,1,,,,,,Sms Solar Charge Controller Mppt,80,,
40a 48v Sunfield MPPT Solar Charge Controller CBD,100000.0,48V,,,,,,Charge Controllers,1,48V,,00040A,,,Sunfield MPPT Solar Charge Controller CBD,40,48,
40ahm 36v SMS Charge Controller,85000.0,36V,,,,,,Charge Controllers,1,36V,,,,,SMS Charge Controller,40,36,
Charge Controller,43000.0,,,,,,,Charge Controllers,1,,,30A,,,Charge Controller,,,
40ahms PWM Charge Controller,18500.0,,,,,,,Charge Controllers,1,,,,,,PWM Charge Controller,40,,
40A Deka Mppt Charge Controller,70000.0,,,,,,,Charge Controllers,1,,,00040A,,,Deka Mppt Charge Controller,40,,
80A MPPT Charge Controller,165000.0,,,,,,,Charge Controllers,1,,,00080A,,,MPPT Charge Controller,80,,
Felicity Charge Controller 45/24,105000.0,,,,,,,Charge Controllers,1,,,,,,Felicity Charge Controller,,,
Subfield MPPT Charge Controller 80A,210000.0,,,,,,,Charge Controllers,1,,,80A,,,Subfield MPPT Charge Controller,80,,
